Wavelength,R,G,B,C,M,Y
300,0.0102,0.011,0.009,0.0207531668599854,0.051104513328854,0.0502291580424268
300.2,0.0104185047398905,0.0109796056613458,0.00901954337684993,0.0209104584671606,0.0517022344266839,0.050350598812284
300.4,0.0106413269467918,0.0109605309510375,0.00904416701481361,0.0210686103271329,0.0522987885936696,0.0504715907851547
300.6,0.0108684341669606,0.010942779818148,0.00907385397992405,0.0212276388308791,0.0528941455957514,0.050592147634804
300.8,0.0110997939424629,0.0109263562085916,0.00910858732947112,0.0213875606322483,0.0534882774609669,0.0507122830003455
301,0.0113353738090798,0.0109112640635443,0.00914835010763005,0.0215483926261889,0.0540811585292872,0.0508320104732825
301.2,0.0115751412942118,0.010897507317865,0.00919312534108979,0.0217101519269752,0.0546727655024544,0.0509513435845476
301.4,0.011819063914784,0.0108850898985155,0.00924289603468149,0.0218728558464331,0.0552630774938172,0.0510702957915446
301.6,0.0120671091751509,0.0108740157229819,0.00929764516700694,0.0220365218721672,0.0558520760781675,0.051188880465188
301.8,0.0123192445650014,0.0108642886976944,0.00935735568606702,0.0222011676457869,0.0564397453415775,0.0513071108769444
302,0.0125754375572634,0.0108559127164487,0.00942201050489008,0.0223668109411327,0.0570260719312355,0.051425000185873
302.2,0.0128356556060091,0.0108488916588261,0.00949159249716046,0.0225334696425028,0.0576110451052826,0.0515425614256657
302.4,0.0130998661443598,0.0108432293886145,0.00956608449284688,0.0227011617228793,0.0581946567826498,0.0516598074916886
302.6,0.0133680365823905,0.010838929752229,0.00964546927383087,0.0228699052221548,0.0587769015928934,0.0517767511280221
302.8,0.0136401343050352,0.0108359965771322,0.00972972956953524,0.0230397182253588,0.0593577769260321,0.0518934049145015
303,0.0139161266699917,0.0108344336702554,0.00981884805255251,0.0232106188408838,0.0599372829823842,0.0520097812537579
303.2,0.0141959810056263,0.0108342448164189,0.00991280733427338,0.0233826251787121,0.0605154228224025,0.0521258923582588
303.4,0.0144796646088788,0.0108354337767524,0.010011589960515,0.023555755328642,0.0610922024165122,0.0522417502373487
