Wavelength,R,G,B
334.6,0.0822991096066101,0.0285906171810175,0.0685618965957608
334.8,0.082722904781582,0.0288099378482034,0.0690855169331505
335,0.0831446902124097,0.0290305562648346,0.0696097893499558
335.2,0.0835644478301328,0.0292524803290074,0.0701347264553037
335.4,0.0839821604498624,0.0294757184189339,0.0706603426902468
335.6,0.0843978117853606,0.0297002794014478,0.0711866543580166
335.8,0.0848113864636229,0.0299261726405133,0.0717136796542786
336,0.0852228700394587,0.0301534080057311,0.0722414386973867
336.2,0.0856322490100725,0.0303819958808467,0.0727699535586369
336.4,0.0860395108296448,0.0306119471722573,0.073299248292523
336.6,0.0864446439239136,0.0308432733175192,0.07382934896699
336.8,0.086847637704755,0.0310759862938551,0.0743602836936886
337,0.0872484825847643,0.0313100986266616,0.0748920826582299
337.2,0.0876471699918378,0.0315456233980163,0.0754247781504401
337.4,0.0880436923837526,0.0317825742551853,0.0759584045946139
337.6,0.088438043262749,0.0320209654191306,0.0764929985797703
337.8,0.0888302171901105,0.0322608116930173,0.0770285988899056
338,0.0892202098007459,0.032502128470721,0.077565246534249
338.2,0.089608017817769,0.032744931745335,0.0781029847775161
338.4,0.0899936390670811,0.0329892381176779,0.0786418591701641
338.6,0.0903770724919515,0.0332350648048007,0.0791819175786457
338.8,0.090758318167598,0.0334824296484944,0.0797232102156634
339,0.0911373773157689,0.0337313511237968,0.0802657896704244
339.2,0.0915142523193238,0.0339818483475007,0.0808097109388949
339.4,0.091888946736814,0.0342339410866603,0.0813550314540542
339.6,0.0922614653170647,0.0344876497670994,0.0819018111161492
339.8,0.0926318140137551,0.034742995481918,0.0824501123229494
340,0.093,0.035,0.083
340.2,0.0933660316825448,0.0352586857741622,0.0835515416300676
340.4,0.0937299187059218,0.0355190759399809,0.0841048072615054
340.6,0.0940916719311249,0.0357811942909559,0.0846598694631186
340.8,0.0944513034042464,0.0360450652443532,0.0852168032579529
341,0.0948088263247263,0.0363107138066879,0.0857756860562708
341.2,0.0951642550136035,0.0365781655392083,0.0863365975885297
341.4,0.0955176048817651,0.0368474465233797,0.0868996198383586
341.6,0.0958688923981971,0.0371185833263673,0.0874648369755358
341.8,0.0962181350582345,0.0373916029665207,0.0880323352889661
342,0.0965653513518117,0.037666532878857,0.0886022031196583
342.2,0.0969105607317121,0.0379434008805446,0.0891745307937015
342.4,0.0972537835818188,0.0382222351363867,0.0897494105552442
342.6,0.0975950411853648,0.0385030641243055,0.09032693649947
342.8,0.0979343556931829,0.038785916600825,0.0909072045055754
343,0.0982717500919561,0.0390708215665551,0.0914903121697475
343.2,0.0986072481724677,0.0393578082316753,0.0920763587381409
343.4,0.0989408744978519,0.0396469059814184,0.0926654450398551
343.6,0.0992726543718431,0.0399381443415535,0.0932576734199117
343.8,0.0996026138070269,0.0402315529438706,0.0938531476722317
344,0.0999307794930901,0.0405271614916635,0.0944519729726133
344.2,0.100257178765071,0.0408249997252136,0.0950542558117084
344.4,0.100581839571608,0.0411250973872739,0.0956601039280003
344.6,0.100904790443194,0.0414274841885522,0.0962696262407814
344.8,0.101226060460422,0.0417321897731948,0.0968829327831295
345,0.101545679222236,0.0420392436842706,0.0975001346348862
345.2,0.101863676814185,0.042348675329254,0.0981213438556337
345.4,0.102180083776669,0.0426605139455091,0.0987466734176715
345.6,0.10249493107319,0.0429747885657734,0.0993762371389953
345.8,0.102808250058604,0.0432915279836408,0.100010149616272
346,0.10312007244737,0.0436107607190456,0.10064852615782
346.2,0.103430430281801,0.0439325149837468,0.101291482716583
346.4,0.103739355900311,0.0442568186468106,0.101939135823111
346.6,0.10404688190567,0.0445836992000944,0.102591602518534
346.8,0.104353041133252,0.0449131837237313,0.103249000287541
347,0.104657866619282,0.0452452988516125,0.103911446991359
347.2,0.104961391569094,0.0455800707368715,0.104579060800728
347.4,0.105263649325372,0.045917525017368,0.105251960128877
347.6,0.105564673336408,0.046257686781171,0.105930263564507
347.8,0.105864497124346,0.0466005805320429,0.10661408980476
348,0.106163154253438,0.0469462301549229,0.107303557588205
348.2,0.106460678298289,0.0472946588814103,0.107998785627807
348.4,0.10675710281211,0.0476458892552493,0.108699892543914
348.6,0.107052461294967,0.0479999430978112,0.109406996797222
348.8,0.107346787162034,0.0483568414735788,0.110120216621765
